File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LRR____20221021T083603_20221021T092020_20221021T233827_2657_072_007______PS2_O_NT_002.SEN3,72,7, 2022-10-21 08:46:23.675237,3425,826,23.77968189,35.33778455,4.7999997,8.811289814,54.83870968, --
S3B_OL_2_LRR____20221117T083843_20221117T092259_20221117T235010_2656_073_007______PS2_O_NT_002.SEN3,73,7, 2022-11-17 08:46:26.437391,2532,826,23.77968189,35.33778455,19.199999,16.99459351,57.64828304, --
S3B_OL_2_LRR____20221214T084009_20221214T092418_20221214T225302_2649_074_007______PS2_O_NT_002.SEN3,74,7, 2022-12-14 08:46:26.902711,2046,827,23.77968189,35.33778455,15.299999,21.01160104,62.33090531, --
S3B_OL_2_LRR____20230110T083951_20230110T092347_20230110T220613_2636_075_007______PS2_O_NT_002.SEN3,75,7, 2023-01-10 08:46:23.299093,2128,827,23.77968189,35.33778455, --,17.21764587,94.6930281, --
S3B_OL_2_LRR____20230206T083752_20230206T092138_20230206T232204_2626_076_007______PS2_O_NT_002.SEN3,76,7, 2023-02-06 08:46:26.108628,2820,827,23.77968189,35.33778455, --, --,100, --
S3B_OL_2_LRR____20230305T083436_20230305T091827_20230305T220359_2631_077_007______PS2_O_NT_002.SEN3,77,7, 2023-03-05 08:46:25.132361,3928,826,23.77968189,35.33778455, --,10.01128973,93.5483871, --
S3B_OL_2_LRR____20230428T082815_20230428T091235_20230428T234056_2660_079_007______PS2_O_NT_002.SEN3,79,7, 2023-04-28 08:46:28.007084,6109,827,23.77968189,35.33778455, --,9.187499485,88.34547347, --
S3B_OL_2_LRR____20230525T082617_20230525T091043_20230525T231526_2666_080_007______PS2_O_NT_002.SEN3,80,7, 2023-05-25 08:46:31.708478,6800,827,23.77968189,35.33778455,11.999999,16.03205027,26.95109261, --
S3B_OL_2_LRR____20230621T082530_20230621T090955_20230621T230751_2665_081_007______PS2_O_NT_002.SEN3,81,7, 2023-06-21 08:46:33.803541,7079,827,23.77968189,35.33778455,14.999999,19.73688407,23.82934443, --
S3B_OL_2_LRR____20230718T082609_20230718T091029_20230718T223129_2660_082_007______PS2_O_NT_002.SEN3,82,7, 2023-07-18 08:46:35.887296,6869,828,23.77968189,35.33778455,6.5999994,12.25371828,24.45369407, --
