File, Cycle, Orbit, Date, Time, image_coords, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3A_OL_2_LFR____20200903T085347_20200903T085647_20200904T140854_0179_062_221_2340_LN1_O_NT_002.SEN3, 062,221,2020-09-03 08:55:26.028262, (1844, 4075), 23.7796818931, 35.3377845486, 20.699999, 23.171798781475342, 0, 0.9
S3A_OL_2_LFR____20200904T082736_20200904T083036_20200905T132714_0179_062_235_2340_LN1_O_NT_002.SEN3, 062,235,2020-09-04 08:29:34.912018, (2290, 1922), 23.7796818931, 35.3377845486, 19.199999, 21.975232879527525, 0, 0.9
S3B_OL_2_LFR____20200703T082154_20200703T082454_20200704T124106_0179_040_349_2340_LN1_O_NT_002.SEN3, 040,349,2020-07-03 08:23:56.237095, (2373, 1457), 23.7796818931, 35.3377845486, 8.099999, 11.174921273937086, 0, 0.29999998
S3B_OL_2_LFR____20200706T084420_20200706T084720_20200707T122011_0179_041_007_2340_LN1_O_NT_002.SEN3, 041,007,2020-07-06 08:46:07.272379, (2019, 3305), 23.7796818931, 35.3377845486, 18.3, 22.62372372578623, 53, 0.59999996
S3B_OL_2_LFR____20200707T081810_20200707T082110_20200708T132245_0179_041_021_2340_LN1_O_NT_002.SEN3, 041,021,2020-07-07 08:20:14.173640, (2423, 1146), 23.7796818931, 35.3377845486, --, 29.13977738902055, 81, --
S3B_OL_2_LFR____20200710T084036_20200710T084336_20200711T130534_0179_041_064_2340_LN1_O_NT_002.SEN3, 041,064,2020-07-10 08:42:25.735535, (2082, 3002), 23.7796818931, 35.3377845486, 3.6, 10.016496902189884, 59, 0.29999998
S3B_OL_2_LFR____20200713T090303_20200713T090603_20200714T124613_0179_041_107_2340_LN1_O_NT_002.SEN3, 041,107,2020-07-13 09:04:33.468920, (1656, 4831), 23.7796818931, 35.3377845486, --, 17.435482763474987, 90, --
S3B_OL_2_LFR____20200714T083652_20200714T083952_20200715T133926_0179_041_121_2340_LN1_O_NT_002.SEN3, 041,121,2020-07-14 08:38:44.066429, (2144, 2693), 23.7796818931, 35.3377845486, 14.699999, 19.35815642438374, 6, 0.59999996
S3B_OL_2_LFR____20200714T083652_20200714T083952_20200716T082041_0179_041_121_2340_LN1_O_NT_002.SEN3, 041,121,2020-07-14 08:38:44.066429, (2144, 2693), 23.7796818931, 35.3377845486, 14.699999, 19.35815642438374, 6, 0.59999996
S3B_OL_2_LFR____20200722T082923_20200722T083223_20200723T132351_0180_041_235_2340_LN1_O_NT_002.SEN3, 041,235,2020-07-22 08:31:20.421118, (2264, 2072), 23.7796818931, 35.3377845486, 4.7999997, 11.954281396769757, 17, 0.29999998
S3B_OL_2_LFR____20200725T085149_20200725T085449_20200726T130239_0179_041_278_2340_LN1_O_NT_002.SEN3, 041,278,2020-07-25 08:53:29.823567, (1879, 3916), 23.7796818931, 35.3377845486, 13.199999, 16.229655572452604, 0, 0.9
S3B_OL_2_LFR____20200726T082538_20200726T082838_20200727T122616_0179_041_292_2340_LN1_O_NT_002.SEN3, 041,292,2020-07-26 08:27:38.220000, (2319, 1763), 23.7796818931, 35.3377845486, 17.999998, 20.75525370249515, 0, 0.59999996
S3B_OL_2_LFR____20200729T084805_20200729T085105_20200730T133934_0179_041_335_2340_LN1_O_NT_002.SEN3, 041,335,2020-07-29 08:49:48.286426, (1949, 3610), 23.7796818931, 35.3377845486, 10.499999, 13.660144863466071, 0, 0.59999996
S3B_OL_2_LFR____20200730T082154_20200730T082454_20200731T130240_0179_041_349_2340_LN1_O_NT_002.SEN3, 041,349,2020-07-30 08:23:55.979865, (2371, 1456), 23.7796818931, 35.3377845486, 6.2999997, 10.117897414764181, 0, 0.29999998
S3B_OL_2_LFR____20200802T084420_20200802T084720_20200803T124548_0179_042_007_2340_LN1_O_NT_002.SEN3, 042,007,2020-08-02 08:46:07.101649, (2017, 3304), 23.7796818931, 35.3377845486, 20.999998, 25.43132001974084, 0, 0.9
S3B_OL_2_LFR____20200806T084036_20200806T084336_20200807T132015_0179_042_064_2340_LN1_O_NT_002.SEN3, 042,064,2020-08-06 08:42:25.652706, (2081, 3001), 23.7796818931, 35.3377845486, 16.199999, 18.214462907455715, 0, 0.9
S3B_OL_2_LFR____20200807T081425_20200807T081725_20200808T124008_0179_042_078_2340_LN1_O_NT_002.SEN3, 042,078,2020-08-07 08:16:31.848622, (2469, 835), 23.7796818931, 35.3377845486, 13.199999, 16.360301658355038, 10, 0.59999996
