File, Cycle, Orbit, Date and Time, image x_cord, image y-cord, Longitude, Latitude, IWV, IWV_average, Excluded_pixels (%), IWV error   
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:48.600967, (1900, 4085),26.10606173,35.20475952, --,13.57499921,99.16753382, --
S3B_OL_2_LFR____20190209T084407_20190209T084707_20200218T220858_0179_022_007_2340_LR1_R_NT_002.SEN3,22,7, 2019-02-09 08:45:49.965012, (1931, 3384),24.0705597,35.53318964,15.599999,19.19999886,99.89594173,1.1999999
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:57.980829, (2017, 3305),23.77968189,35.33778455,1.8,3.210164646,24.24557752,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:59.344875, (2048, 3228),23.52146221,35.30351361,5.3999996,5.4022137,71.80020812,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:46:05.021129, (2177, 3461),24.10886335,34.83849396,6.8999996,5.360526027,76.27471384,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:46:04.845092, (2173, 3464),24.11983311,34.84794784,16.499998,5.390816033,79.60457856,19.199999
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:53.844622, (1923, 3752),25.14150322,35.3241276,8.7,8.206603352,33.81893861,0.9
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:56.044745, (1973, 3995),25.7972323,35.0530694,12.599999,9.885082281,5.827263267,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:52.744579, (1898, 3266),23.74064133,35.67024941,3.2999997,3.449079539,66.07700312,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:59.080873, (2042, 3693),24.87775154,35.05394799,8.099999,7.869905547,0.416233091,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:46:00.004915, (2063, 3274),23.6406989,35.23938299,6.2999997,5.099419444,46.20187305,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:58.728835, (2034, 3497),24.31848324,35.18760437,15.899999,5.137499704,90.84287201,20.099998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:54.548662, (1939, 3574),24.61307909,35.38775778,5.9999995,6.279967034,36.1082206,0.29999998
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:52.568577, (1894, 4083),26.10606173,35.20475952,8.7,8.092947136,42.45577523,0.59999996
S3B_OL_2_LFR____20190308T084411_20190308T084711_20200218T235638_0179_023_007_2340_LR1_R_NT_002.SEN3,23,7, 2019-03-08 08:45:53.932623, (1925, 3382),24.0705597,35.53318964,4.7999997,5.294505207,43.18418314,0.29999998
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:00.469311, (2015, 3307),23.77968189,35.33778455,5.9999995,7.892404602,1.352757544,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:01.833357, (2046, 3230),23.52146221,35.30351361,11.699999,10.9732551,73.15296566,0.9
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:07.509610, (2175, 3463),24.10886335,34.83849396,14.4,15.01874911,85.01560874,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:07.333609, (2171, 3466),24.11983311,34.84794784,27.3,14.9577769,85.95213319,36.3
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:45:56.333139, (1921, 3754),25.14150322,35.3241276,17.699999,17.15120577,39.64620187,0.9
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:45:58.533226, (1971, 3996),25.7972323,35.0530694,18.599998,18.03079355,68.57440166,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:45:55.233095, (1896, 3267),23.74064133,35.67024941,10.2,9.36145782,70.03121748,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:01.569355, (2040, 3695),24.87775154,35.05394799,15.599999,16.33479144,54.83870968,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:02.493397, (2061, 3275),23.6406989,35.23938299,12.599999,11.00498684,58.27263267,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:46:01.217352, (2032, 3499),24.31848324,35.18760437,24.899998,12.57615826,84.28720083,33.6
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:45:57.037179, (1937, 3575),24.61307909,35.38775778,14.699999,14.81846673,47.03433923,0.59999996
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:45:55.057094, (1892, 4085),26.10606173,35.20475952,22.199999, --,100,1.1999999
S3B_OL_2_LFR____20190404T084414_20190404T084714_20200219T014254_0179_024_007_2340_LR1_R_NT_002.SEN3,24,7, 2019-04-04 08:45:56.421139, (1923, 3384),24.0705597,35.53318964,11.4,11.28609889,49.84391259,0.59999996
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:59.949984, (2020, 3309),23.77968189,35.33778455,14.4,15.23099484,25.80645161,0.59999996
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:46:01.270064, (2050, 3231),23.52146221,35.30351361,6.2999997, --,100,0.9
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:46:06.990317, (2180, 3464),24.10886335,34.83849396,17.999998,17.80588119,71.69614984,0.59999996
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:46:06.770281, (2175, 3467),24.11983311,34.84794784,32.999996,17.92825969,76.06659729,43.8
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:55.813812, (1926, 3756),25.14150322,35.3241276,24.3,23.00196526,31.21748179,1.1999999
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:57.969899, (1975, 3997),25.7972323,35.0530694,16.8,16.89533792,1.768990635,0.9
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:54.669769, (1900, 3268),23.74064133,35.67024941,15.899999,15.6038452,75.6503642,0.59999996
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:46:01.006062, (2044, 3696),24.87775154,35.05394799,17.4,17.15585661,0.520291363,0.59999996
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:46:01.974070, (2066, 3276),23.6406989,35.23938299,20.4,17.37084288,59.3132154,0.59999996
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:46:00.698025, (2037, 3500),24.31848324,35.18760437,31.799997,16.96207523,50.88449532,39.6
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:56.517853, (1942, 3577),24.61307909,35.38775778,18.9,19.67874279,35.3798127,0.59999996
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:54.537768, (1897, 4086),26.10606173,35.20475952,20.999998,20.99062383,50.05202914,0.9
S3B_OL_2_LFR____20190501T084413_20190501T084713_20200219T032733_0179_025_007_2340_LR1_R_NT_002.SEN3,25,7, 2019-05-01 08:45:55.901813, (1928, 3386),24.0705597,35.53318964,17.699999,17.60695538,64.09989594,0.59999996
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:55.894315, (2023, 3308),23.77968189,35.33778455,18.599998,19.53985126,71.80020812,0.59999996
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:45:57.258396, (2054, 3230),23.52146221,35.30351361, --,20.56499887,95.83766909, --
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:46:02.934614, (2183, 3464),24.10886335,34.83849396,26.699999, --,100,1.1999999
S3B_OL_2_LFR____20190528T084409_20190528T084709_20200219T051210_0180_026_007_2340_LR1_R_NT_002.SEN3,26,7, 2019-05-28 08:46:02.714612, (2178, 3466),24.11983311,34.84794784,25.199999, --,100,1.4999999
